,Keyword,Likes,Comments,Views
718,literature,10877,428,739507
719,literature,27439,792,604827
720,literature,36272,800,518790
721,literature,6686,292,439103
722,literature,3312,178,91932
723,literature,4407,170,68989
724,literature,33744,1281,1804121
725,literature,1449,89,58621
726,literature,4439,565,67276
727,literature,32043,2960,1713463
728,literature,10524,403,311071
729,literature,30633,610,1707883
730,literature,48535,2309,1912405
731,literature,5449,533,596680
732,literature,47782,3410,3330650
733,literature,356,13,14593
734,literature,131,3,7966
735,literature,33130,1294,2792013
736,literature,2459,162,72310
737,literature,7530,129,646913
738,literature,842,66,18837
739,literature,4721,181,391796
740,literature,13526,326,1048396
741,literature,11675,1228,1550802
742,literature,2766,224,441183
743,literature,48,1,2847
744,bed,1121873,23969,145167323
745,bed,79639,921,10792977
746,bed,515049,16568,78137822
747,bed,1499298,75048,94340456
748,bed,157924,2760,29657435
749,bed,121553,1171,26260197
750,bed,340686,8853,35695760
751,bed,6626,64,401678
752,bed,7786057,195769,524709805
753,bed,119272,3743,26826274
754,bed,23477,309,1345689
755,bed,4644,63,392314
756,bed,789062,14192,58921922
757,bed,1430457,84188,321977550
758,bed,1158,19,85052
759,bed,361395,9234,50358797
760,bed,17286,277,1603229
761,bed,85527,1347,6055668
762,bed,203103,5814,6644534
763,bed,1301198,40137,98559845
764,bed,1072689,37571,302125099
765,bed,2122,36,164940
766,bed,397142,6354,49183640
767,bed,2206,30,157632
768,bed,130796,4106,9493733
769,bed,6366,54,302407
770,bed,25,26,4454
771,bed,5716,687,153064
772,bed,287759,10036,4288625
773,bed,57666,2683,2966344
774,bed,362022,10409,11440455
775,bed,1171433,61344,308501014
776,bed,16578,119,1088318
777,bed,26215,959,693153
778,bed,232336,3681,33227408
779,bed,6201,314,467835
780,bed,135484,4557,5301271
781,bed,153490,12872,5637132
782,bed,288,8,20076
783,bed,144517,4933,19210396
784,bed,35503,974,1206538
785,bed,74840,1286,9224408
786,bed,160501,6539,46251795
787,bed,394837,13938,42257995
788,trolling,3075,225,42648
789,trolling,24505,1085,426409
790,trolling,7364,653,100979
791,trolling,12928,1001,109363
792,trolling,125907,15131,1425150
793,trolling,251667,6894,7433726
794,trolling,28773,780,928704
795,trolling,319390,7746,3433953
796,trolling,28453,603,743338
797,trolling,2464,296,57850
798,trolling,27780,1518,960994
799,trolling,32006,2924,534114
800,trolling,2769,363,63870
801,trolling,430267,12839,14286302
802,trolling,22283,1331,613757
803,trolling,133987,11698,1345404
804,trolling,44783,1921,1198270
805,trolling,49530,2477,1212736
806,trolling,96363,6337,1484533
807,trolling,91777,2658,2333380
808,trolling,608,136,10509
809,trolling,153762,26601,4364168
810,trolling,451,85,7383
811,trolling,13777,585,338844
812,trolling,106511,2800,4502356
813,trolling,15082,753,310738
814,trolling,29921,1783,1005072
815,trolling,20616,879,425099
816,trolling,37296,1088,855392
817,trolling,22894,896,420420
818,trolling,455277,12904,9736125
819,trolling,127211,3593,2987298
820,trolling,10705,761,639089
821,trolling,25917,1094,608323
822,trolling,29615,1510,869372
823,trolling,3237,595,80522
824,trolling,100199,8790,1430388
825,trolling,6253,359,115655
826,trolling,6189,276,328489
827,trolling,1213,144,53965
828,trolling,33974,695,715895
829,trolling,10724,3548,186568
830,trolling,36776,1192,740962
831,trolling,4873,319,64877
832,trolling,1229,54,21962
833,trolling,804,85,14721
834,trolling,76217,2645,1266882
835,trolling,344,101,5388
836,trolling,1139,59,128524
837,trolling,467,31,36585
838,asmr,14787,747,296801
839,asmr,4855,255,75586
840,asmr,4296,269,78423
841,asmr,2945,207,58050
842,asmr,1804,128,24792
843,asmr,8534,436,138803
844,asmr,1808,151,36473
845,asmr,701,47,16243
846,asmr,597,71,10572
847,asmr,3344,142,55828
848,asmr,563,86,14537
849,asmr,2025,320,32988
850,asmr,1031,75,19755
851,asmr,1717,114,34348
852,asmr,4512,349,116672
853,asmr,454036,6622,23568994
854,asmr,56993,2142,1686249
855,asmr,34526,1668,1018753
856,asmr,11283,378,261713
857,asmr,18685,385,464557
858,asmr,96744,3114,4309217
859,asmr,311,14,10108
860,asmr,1362,269,43743
861,asmr,875,58,15786
862,asmr,16649,370,951514
863,asmr,815,43,6178
864,asmr,1722,124,25331
865,asmr,35777,1237,1228300
866,asmr,423,68,9245
867,asmr,9886,525,297290
868,asmr,51772,2918,1075761
869,asmr,703,283,8694
870,asmr,148120,12399,10008290
871,asmr,4656,296,31449
872,asmr,2237,221,33028
873,asmr,2011,130,16887
874,asmr,618688,13240,33779197
875,asmr,2786,253,26789
876,asmr,26419,1191,747110
877,asmr,17961,695,463378
878,asmr,61031,5037,1229745
879,asmr,12942,299,369997
880,asmr,26859,1357,904713
881,asmr,13542,422,619387
882,asmr,6160,311,146821
883,asmr,4686,453,59177
884,asmr,15150,587,319387
885,asmr,5577,333,121692
886,asmr,207,26,2985
887,asmr,15652,500,459455
888,music,109,16,9542
889,music,182,15,19525
890,music,83707,1717,20548194
891,music,329,29,14336
892,music,823,49,29864
893,music,227790,8698,13966109
894,music,714,14,119878
895,music,5174,238,187956
896,music,2184,3,32162
897,music,2696,18,40240
898,music,94131,920,3921128
899,music,577,46,14780
900,music,488,31,21332
901,music,2286473,86935,250793774
902,music,10402,123,1671725
903,music,16909,215,3308580
904,music,26306,331,2225959
905,music,5010,123,159448
906,music,119953,13263,1693263
907,music,4663,306,33480
908,music,10389,905,97930
909,music,9627,577,318166
910,music,242721,7745,5833454
911,music,14741,913,811965
912,music,5041,252,141779
913,music,1240,9,54917
914,music,470,6,29055
915,music,365971,34419,35490831
916,music,3001232,110160,23836066
917,music,1634,52,148482
918,music,132,19,2944
919,music,542,12,71547
920,music,106056,4284,1554691
921,music,519,11,57394
922,music,6823113,270948,915457091
923,music,1259,9,9958
924,music,152593,3290,15666598
925,music,718,5,64395
926,music,145,3,10105
927,music,304,16,16123
928,music,23546,392,2367294
929,music,7219,314,312191
930,music,731644,8894,45665114
931,music,50488,8741,1090694
932,music,12595,216,2861258
933,music,94,9,3773
934,food,112098,9775,5451348
935,food,77893,5741,3927439
936,food,31578,1904,2710713
937,food,139442,10653,7320107
938,food,48163,2178,1669551
939,food,37893,2061,1335899
940,food,121547,4043,6315803
941,food,158510,6026,8947796
942,food,146566,13664,14073219
943,food,23824,1496,805994
944,food,30033,1209,810069
945,food,9093,759,355919
946,food,103051,2343,2575482
947,food,104631,4839,4087572
948,food,77866,2958,2349546
949,food,18957,566,702174
950,food,371116,13239,17069830
951,food,23502,1113,1016391
952,food,28031,1690,1348450
953,food,25021,1216,967211
954,food,2400,214,156294
955,food,47460,1517,1658204
956,food,44713,2725,1186255
957,food,227589,4648,6340958
958,food,18649,1339,748675
959,food,58950,1107,7755963
960,food,672749,62897,48018833
961,food,47086,3535,3452285
962,food,140841,7330,10338163
963,food,25825,1458,608177
964,food,501165,31086,32791832
965,food,71688,1712,4783245
966,food,26616,1143,441062
967,food,155534,10306,2564092
968,food,75028,3457,4695664
969,food,63497,4004,2936679
970,food,19325,1128,385239
971,food,205831,15677,11829970
972,food,175132,6049,4357193
973,food,774,83,48984
974,food,1241,70,47430
975,food,105355,7424,5547667
976,food,5077,351,93633
977,food,41927,1112,1952077
978,food,75063,3724,12244410
979,food,22891,1780,1006579
980,food,6851,178,963335
981,food,32631,1587,1322089
982,mukbang,11248,505,384035
983,mukbang,959,138,28759
984,mukbang,218539,4421,19256162
985,mukbang,281285,3360,17282158
986,mukbang,378858,18860,17975269
987,mukbang,65909,2122,1864630
988,mukbang,1056430,46966,75785129
989,mukbang,1221507,43126,86169225
990,mukbang,3721,322,45157
991,mukbang,861503,17975,79941868
992,mukbang,51437,468,4341289
993,mukbang,45628,17264,5283664
994,mukbang,141654,2756,11184537
995,mukbang,126347,83990,11188525
996,mukbang,737,52,15390
997,mukbang,7650,887,231488
